Тема,Номер вопроса,Вопрос,Картинка,Ответ,Неверные ответы
,,Какой город обозначен на карте цифрой 1?,,Сталинград,"Москва, Волгоград"
,,Какая операция изображена на карте?,,Багратион,"Искра, Уран"
,,Что за город обозначен на карте цифрой 1?,,Курск,"Воронеж, Волгоград"
,,Какая битва изображена на карте?,,Московская/битва за Москву,"Сталинградская, Курская"
,,В каком году происходят обозначенные на схеме события?,,1945,"1943, 1944"
,,Какая битва изображена на карте?,,Сталинградская,"Москвоская, Смоленская"
,,Какой фронт находился под цифрой 3 на карте?,,Западный,"Восточный, Центральный"
,,В каком году происходят обозначенные на схеме события?,,1941,"1944, 1945"
,,В какому году началась изображенная на карте операция СССР?,,1944,"1942, 1943"
,5,Как назывался план вторжения Германии в СССР?,-,Барбаросса,
,,На какой японский город первым были сброшены атомные бомбы США в 1945?,-,Хиросима,
,,Сколько стран состояло в Антигитлеровской коалиции?,-,26,
,,Кто со стороны СССР подписал договор о ненападении между СССР и Германией в 1939 году?,-,Молотов,
,,В каком году прошла Тегеранская конференция?,-,1943,
,,"За сколько недель план ""Барбаросса"" предполаагл захват СССР?",-,6,
,,В каком году Красная Армия освободила Киев?,-,1943,
,,"Как назывался японский город, уничтоженный второй атомной бомбой?",-,Нагасаки,
,,Какой месяц стал переломным в Сталинградской битве?,-,Ноябрь/ноябрь,
,,"На какой конференции обсуждались основные моменты послевоенного трибунала. Ответ напишите в формате ""..ая""",-,Лондонская/лондонская,
